,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,0.052345218673533006,0.5730561110077185,0.3554896276424996,0.5290126072559455,0.06026744167741164,0.12110656514542383,0.1401385271413948,0.2568751995103423,0.108483945075371,0.18533606519401663,0.3420026422708915,0.08647163542255784,0.358419520925497,0.16284648935398482,0.23798939973547056
1,fixedmip,,,,,,,,,,,,,,,
2,noconv,,,,,,,,,,,,,,,
3,fixedmip128,0.10334901146604758,0.47524917877922274,0.716925385026314,0.3746945289479408,0.25850145812317155,0.23704763232846338,0.30762348891709246,0.21176399102765806,0.6203530208474537,0.6055747032559318,0.3765372393504162,0.2821935125960851,0.2704283512509659,0.21656369424620206,0.36120037115449743
4,tensorf,0.17870702657921805,0.4435277859199439,0.6599944856509405,0.6883411475804592,0.6599944856509405,0.20271498784466985,0.6599944856509405,0.29846677088851076,0.7310878611208969,0.6102043151871378,0.6100366978666407,0.6599428137738446,0.20271380245615675,0.20187880004759137,0.48625753330127797
5,singlebounce_samen,0.027123390711921762,0.3663124400135223,0.6463717698214865,0.2027195118628043,0.5509314671022089,0.12720626461560333,0.06764168508773523,0.23683969171054262,0.10887572339422331,0.2755941300249796,0.18710782806262982,0.06943863000166622,0.3137344766249997,0.17500259168097948,0.23963568576537878
6,interpdiffuse,,,,,,,,,,,,,,,
7,interpdiffuse_flipnorm,,,,,,,,,,,,,,,
8,nodiffuse,,,,,,,,,,,,,,,
9,noupsample,,,,,,,,,,,,,,,
