,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,0.015911287122871726,0.05464080959558487,0.11296313375234604,0.012493421256076545,0.033464599372819065,0.028415638385340572,0.02789876957423985,0.09885424003005028,0.014641083269380033,0.051970413345843555,0.13174965113401413,0.07698357237502933,0.02642969261854887,0.06677679270505905,0.05379950746694313
1,fixedmip,0.1973150809854269,0.3472346593439579,0.5023614816367626,,0.25338385812938213,,0.34206132993102073,0.2520038065314293,0.12331007920205593,0.17853147476911546,0.22637141354382037,0.3381828247010708,,0.49424111828207967,0.2959088297323747
2,noconv,0.015345808272249996,0.06226514351554215,0.11473649930208922,0.013234090122859926,0.03579716883599758,0.030798401022329926,0.028199995388276874,0.0884430080279708,0.014539086662698536,0.05377844313159585,0.13332076460123063,0.07527729919180275,0.02884136707521975,0.24192208752036096,0.0668927973335875
3,fixedmip128,0.031288382848724726,0.05103522478602827,0.14125367730855942,0.014019348125439137,0.04056710997596383,0.04066925810649991,0.027610350898467004,0.10673049669712782,0.017083166665397585,0.05304959559813142,0.1392223757877946,0.08735830869525671,0.03598448973149061,0.11331668835133314,0.06422774811258673
4,tensorf,0.01547876997385174,0.12080206517130136,0.22706959571689367,0.012622583819320425,0.061072539910674094,0.12928594164550306,0.021085103936493398,0.11305682756006717,0.014516149428673089,0.06589664936065674,0.15790845446288584,0.11927647447213531,0.0836195120587945,0.2947851723432541,0.10260541713289319
5,singlebounce_samen,0.01684918945655227,0.054369456628337504,0.11687592264264822,0.012708488064818084,0.033055815510451794,0.027998319072648884,0.023621396571397783,0.10145948257297277,0.015180776603519916,0.057137702312320474,0.13328359737992287,0.07452799743041397,0.02644879418425262,0.08718799620866775,0.05576463818849464
6,interpdiffuse,0.015069619058631361,0.05354461424984038,0.10983413960784674,0.01203967847628519,0.03674063277430832,0.02832681674975902,0.02695452525280416,0.08269229823723435,0.014352188562043011,0.05431616088375449,0.12708977181464434,0.07458761421963572,0.026507090572267772,0.07135557835921645,0.05238648062987651
7,interpdiffuse_flipnorm,0.015618399726226926,0.05228101900778711,0.11001842595636845,0.011528759293723852,0.035893777841702106,0.028850792907178402,0.02626862335484475,0.08097214521840215,0.014047170288395137,0.054330767653882506,0.1220495694503188,0.07424177888780832,0.02764624116010964,0.09119546048343181,0.05321020937358429
8,nodiffuse,0.14537217546254397,0.30504990741610527,0.2386275564879179,0.1936473686620593,0.1186896924301982,0.03746891194023192,0.22821367651224136,0.3388737154006958,0.19347543235868214,0.15090749636292458,0.16616324074566363,0.3099458120763302,0.1764580662176013,0.20037481740117072,0.200233419248169
9,noupsample,0.0251208318490535,0.14631824530661106,0.15554772015661,0.010463517573662102,0.03294827258214354,0.035336968721821904,0.03208699092734605,0.12896084431558846,0.017258921912871303,0.06048966087400913,0.16107653304934502,0.07168048145249487,0.03958024514839053,0.39061955526471137,0.09339205636676133
