,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,0.0,1.071736216545105,4.003559112548828,0.5374828577041626,0.0,2.2315192222595215,0.0,7.9875922203063965,0.0,0.0,0.0,0.0,1.9600355625152588,0.28073373436927795,2.581808418035507
1,fixedmip,6.748690605163574,24.595510482788086,32.171669006347656,,8.614021301269531,,12.276405334472656,15.598294258117676,14.868703842163086,9.214247703552246,20.976743698120117,11.142692565917969,,18.273229598999023,15.861837126991965
2,noconv,2.5582356452941895,2.7666540145874023,6.563885688781738,0.6873521208763123,4.8803911209106445,2.855433464050293,3.6549344062805176,6.859643936157227,8.178874969482422,4.48663330078125,13.38400650024414,5.729229927062988,3.133183240890503,10.034199714660645,5.412332717861448
3,fixedmip128,3.2177374362945557,2.2824721336364746,5.987978935241699,1.0442063808441162,6.1640167236328125,4.301109790802002,3.9758119583129883,6.079445838928223,9.056181907653809,4.449356555938721,12.705493927001953,6.443597793579102,3.4006454944610596,2.9776506423950195,5.148978965623038
4,tensorf,3.7844667434692383,11.447275161743164,15.869739532470703,1.3494714498519897,5.725001811981201,6.4122161865234375,3.7600598335266113,11.623751640319824,9.569842338562012,9.093257904052734,18.20785140991211,7.411317348480225,5.424241542816162,31.920433044433594,10.114208996295929
5,singlebounce_samen,2.608055830001831,2.3476531505584717,5.0780930519104,0.6991932392120361,4.96279764175415,3.194443941116333,3.4467215538024902,8.742732048034668,8.670684814453125,4.512004852294922,13.493932723999023,5.500378608703613,2.842022180557251,1.9783196449279785,4.86264523438045
6,interpdiffuse,2.337484359741211,1.3150254487991333,4.207294464111328,0.5287652015686035,4.5117268562316895,2.2436788082122803,3.2942254543304443,6.026979923248291,8.071908950805664,3.983935832977295,12.74260139465332,5.008866310119629,2.033022880554199,0.2601795494556427,4.040406816772053
7,interpdiffuse_flipnorm,2.2832837104797363,1.239202618598938,4.29311990737915,0.466330885887146,4.406161308288574,2.1951851844787598,3.309959650039673,6.04258918762207,7.998551845550537,3.8331563472747803,12.867780685424805,5.064971446990967,2.12185001373291,0.3069002032279968,4.030645928212574
8,nodiffuse,2.7895431518554688,4.678554058074951,6.936579704284668,1.318488597869873,5.004429817199707,3.8681273460388184,4.3778510093688965,7.008054733276367,9.959247589111328,7.064790725708008,15.145593643188477,6.672435760498047,3.629223108291626,2.6417665481567383,5.792477556637356
9,noupsample,2.6407647132873535,9.473250389099121,7.8595476150512695,0.9092220067977905,5.084529876708984,5.477969169616699,4.651556015014648,,8.651228904724121,5.191295146942139,14.269536972045898,6.100636005401611,3.4791998863220215,,6.149061391750972
