,exp,mic,helmet,toaster,teapot,ficus,materials,chair,coffee,lego,hotdog,ship,drums,car,ball,mean
0,noprednorms_nl0_conserve_pb0,0.9818120171658231,0.9709901776691225,0.9112338131928323,0.9930171794260741,0.9653813198637025,0.9574407342553262,0.9664186805043561,0.9400817275636975,0.9697469952058592,0.9566910570075653,0.826556258492161,0.9213134606259288,0.9599360766962328,0.9786666746918844,0.949949012311469
1,fixedmip,0.9165512599944472,0.8235649270491592,0.6036458430179308,,0.9018615243905814,,0.8427351349098319,0.8830980913619313,0.9280152174787224,0.9013274416537009,0.784691069989452,0.7627275932062081,,0.7439321466770116,0.8265591136117252
2,noconv,0.9817537634640954,0.9666922556204246,0.9105464764679131,0.9928941664564932,0.9624286740132426,0.9570624099769954,0.9668313041088077,0.9479129720316767,0.9700906070368037,0.9550598586511544,0.8236209688274126,0.9213722548497211,0.9580411305868766,0.8756109883182944,0.9421369878864222
3,fixedmip128,0.9694300090922188,0.974659996143611,0.8962657211934701,0.9932937150816743,0.9601129995698178,0.9412217543746584,0.9670407509283424,0.9367942421629364,0.9677794862769592,0.956919748826827,0.826009957138314,0.9135565982907431,0.9464517816894596,0.9508660753137707,0.9428859168630573
4,tensorf,0.9841610098996106,0.9251126406726584,0.8345353984885167,0.9927540499799609,0.9651133498713763,0.9013146327134319,0.97637265647408,0.9293909681278081,0.9728212120050195,0.9495893971748265,0.8307340241365564,0.9157875674345555,0.9100875319411833,0.8789094069151769,0.9261917032739115
5,singlebounce_samen,0.9818701228938532,0.9709409566726638,0.9119463167917107,0.9925385091467895,0.9655257533586332,0.9557458364354474,0.9716761587085007,0.9384157476872582,0.9705664901900296,0.9538305158991588,0.826212703601305,0.922823567448267,0.9597472007557991,0.9711672418720454,0.9495005086758187
6,interpdiffuse,0.9821970648105038,0.9709505070774941,0.9131570568147134,0.9932821242158505,0.9629045624256757,0.9574364546582621,0.967446272638537,0.9487268763012405,0.9707280161159675,0.9540842971626716,0.8296643454262079,0.9215316294542193,0.9601724781558274,0.9785177201602098,0.9507713861012415
7,interpdiffuse_flipnorm,0.9817761325683426,0.9717225146549068,0.9129405208843747,0.9937704104230994,0.9631081046060685,0.9573739521326278,0.9678625039909974,0.9504331021052427,0.970709322624566,0.9530819192640595,0.8333500822404352,0.9211636578373288,0.9596637058483352,0.9713950901903528,0.9505965013836241
8,nodiffuse,0.948675337743158,0.8643682057061803,0.8493116848440495,0.9338333830130421,0.9420807408374036,0.9431491137288529,0.8979707857851296,0.8200058159745671,0.8952650981035881,0.9108999511129119,0.8126616446240859,0.8059682601186328,0.9207923979084413,0.9421009477101887,0.891934526229302
9,noupsample,0.9795867962619279,0.8980972172230995,0.8883162077163683,0.9933141858295018,0.9606502967121376,0.9445389224755629,0.9592837762047263,,0.9658700583091026,0.9470877446006049,0.8047105936411745,0.9188897464225557,0.9496471835836282,,0.9341660607483661
